"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Aldoa.1",3.7029441199846e-07,0.311773348433028,0.273,0.025,0.00603468803233891
"Wfdc2",3.70586957687096e-07,1.78761293431554,1,0.845,0.0060394556494266
"Cxcl17",3.80580511843568e-07,1.44177374738499,0.636,0.148,0.00620232060151462
"1700024G13Rik",4.1839697441583e-07,0.709447856866774,0.545,0.098,0.00681861549205478
"Agbl2",4.28124751254e-07,0.44203538166847,0.455,0.067,0.00697714907118644
"Ddo",4.59512968783164e-07,1.11195759615957,0.727,0.184,0.00748868285225923
"Ccdc153",4.75559126022715e-07,2.1248773395853,0.818,0.294,0.00775018707679219
"Kif20a",4.82824017215695e-07,0.311135974868039,0.273,0.026,0.00786858300856419
"Cacnb1",5.0905383416683e-07,0.604045176283863,0.636,0.13,0.00829605033541682
"Wdr54",5.11562679354205e-07,0.379780340614645,0.364,0.044,0.00833693698543547
"Dnaaf3",5.19826827048818e-07,1.01680748972468,1,0.324,0.00847161780041459
"Retnla",5.25912621831643e-07,2.80677709678765,1,0.718,0.00857079799799029
"Magix",6.10527637788297e-07,0.640748059246306,0.545,0.101,0.00994976891303587
"Tcp11",6.1522585646862e-07,0.778661873050898,0.545,0.105,0.0100263357828691
"Cnksr2",6.52229361416369e-07,0.472266146534827,0.364,0.046,0.0106293819030026
"Ndst1",6.5909209872886e-07,-1.76403432337957,0.636,0.973,0.0107412239329842
"Endog",7.13939068995008e-07,1.13757943819802,0.818,0.234,0.0116350650074116
"Drc1",7.15717366828071e-07,1.00940012216537,0.455,0.077,0.0116640459271971
"Spint2",7.50219757003317e-07,1.22015337651593,1,0.984,0.0122263313798831
"Gabrp",7.76360840984404e-07,2.25709436702973,0.909,0.519,0.0126523526255228
"Pglyrp1",7.7673957166994e-07,2.11738280303838,1,0.553,0.012658524799505
"D930020B18Rik",7.93946769599603e-07,0.469774444635845,0.364,0.047,0.0129389505041647
"Fam183b",8.11828897630483e-07,2.04503112760034,0.818,0.326,0.013230375544684
"Cyp2s1",9.51501364020131e-07,2.03480702785572,0.909,0.465,0.0155066177294361
"Dcxr",9.99300190693166e-07,1.05463491816935,1,0.974,0.0162855952077265
