"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ptafr",0.000107225332707748,-0.300918004161673,0.313,0.49,1
"Tagap",0.000107661174797275,-0.255186721478257,0.16,0.32,1
"Ganab",0.00011054804420548,-0.27545982033079,0.275,0.45,1
"Lap3",0.000113255024615934,-0.281505167611084,0.282,0.462,1
"Lims2",0.000120795814721754,0.274870128608851,0.427,0.279,1
"Vegfa",0.000122541676196862,0.285114762966629,0.969,0.89,1
"Ciao2b",0.000124510836497752,-0.251527296992663,0.214,0.388,1
"Ralgds",0.000132374484940499,-0.276513285436245,0.321,0.513,1
"Parp14",0.0001402547360968,-0.267659022759344,0.275,0.447,1
"Clip4",0.000141519982343311,-0.266366087701901,0.282,0.464,1
"Nfkbie",0.000144412369969264,-0.300207090583838,0.328,0.503,1
"Mzb1",0.000145337961905557,-0.340764331404662,0.435,0.615,1
"Irf5",0.000147621595371713,-0.286747359926973,0.366,0.548,1
"Socs1",0.000149767707534725,-0.297930620220883,0.893,0.922,1
"Btg1",0.000153424664002667,-0.31928127574309,0.344,0.507,1
"Fbn1",0.000158305205775317,0.327381934745604,0.611,0.517,1
"Dpysl2",0.000160246635911461,0.263581170006647,0.824,0.775,1
"Gm16286",0.000160735807281593,-0.263001105753876,0.221,0.381,1
"Spib",0.000160873076611151,-0.343698825871995,0.198,0.363,1
"Hvcn1",0.000167654889101962,-0.331299967542199,0.473,0.618,1
"Cd37",0.000170089451363614,-0.533873598681319,0.634,0.752,1
"Grina",0.000171563156791838,-0.265695153600557,0.87,0.915,1
"Col1a2",0.000190274357331921,0.347446358371088,0.992,0.972,1
"Arel1",0.000193548436183661,-0.266771468320291,0.427,0.607,1
"Il21r",0.000195111345148133,-0.2807103950747,0.344,0.537,1
"Plcg2",0.000204578076055093,-0.26888417652196,0.275,0.445,1
"Rarres2",0.00020879982541989,0.251439903048503,0.985,0.922,1
"Itgal",0.000216394217900851,-0.282400486324526,0.496,0.687,1
"Zmiz2",0.000228421757170146,-0.263142733893281,0.389,0.588,1
"Msrb1",0.00024436971909589,-0.256118033266384,0.275,0.451,1
"Traf1",0.000259272575991071,-0.272012144456963,0.481,0.664,1
"Rufy3",0.000267040254273838,-0.265920057943777,0.313,0.485,1
"Litaf",0.000282878875207016,-0.270411516251394,0.679,0.805,1
"Hist2h2bb",0.000292118567507685,-0.278496170343104,0.893,0.924,1
"Ccl5",0.000294930541933254,-0.323126106264797,0.893,0.921,1
"Cdh1",0.000298923110242497,-0.251006825231003,0.206,0.363,1
"Mtfr1l",0.000301305628349418,-0.272511897704147,0.588,0.753,1
"Rnase4",0.000301596750205322,0.275179737708148,0.855,0.774,1
"Pde7a",0.000308836927054861,-0.251490535480515,0.313,0.492,1
"Hp",0.000311243358684171,0.370532479732868,0.931,0.832,1
"Uba2",0.000335562699376744,-0.252334533203448,0.344,0.524,1
"Ighg2b",0.000374596216204888,-0.342034097528171,0.221,0.376,1
"Pou2af1",0.000380543945585331,-0.370449615293011,0.42,0.587,1
"Cd83",0.000407234605835002,-0.29630959782848,0.359,0.534,1
"Acer2",0.000428069599419997,0.251710700705066,0.908,0.836,1
